"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",3,13.3333333333333,2.3094010767585
"C","3",3,19.3333333333333,4.04145188432738
"C","4",3,13.3333333333333,2.08166599946613
"C","5",3,19.3333333333333,5.5075705472861
"N","2",3,15,4.58257569495584
"N","3",3,16.3333333333333,2.51661147842358
"N","4",3,16,0
"N","5",3,15.3333333333333,0.577350269189626
"V","2",3,12.3333333333333,2.08166599946613
"V","3",3,21.3333333333333,3.51188458428425
"V","4",3,12,3.46410161513775
"V","5",3,17.3333333333333,2.51661147842358
