"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",3,7.66666666666667,2.3094010767585
"C","3",3,12.6666666666667,3.05505046330389
"C","4",3,9.33333333333333,2.88675134594813
"C","5",3,13.6666666666667,1.52752523165195
"N","2",3,9.66666666666667,1.52752523165195
"N","3",3,13,3
"N","4",3,12.3333333333333,2.08166599946613
"N","5",3,11.3333333333333,2.08166599946613
"V","2",3,8,3.46410161513775
"V","3",3,11.3333333333333,0.577350269189626
"V","4",3,7,3.46410161513775
"V","5",3,11.3333333333333,1.52752523165195
