"","diff","lwr","upr","p adj"
"N:2-C:2",2,-5.21125850066821,9.2112585006682,0.996195098596205
"V:2-C:2",0.333333333333328,-6.87792516733488,7.54459183400153,0.99999999995811
"C:3-C:2",4.99999999999999,-2.21125850066822,12.2112585006682,0.384930296588431
"N:3-C:2",5.33333333333333,-1.87792516733488,12.5445918340015,0.299404139147418
"V:3-C:2",3.66666666666666,-3.54459183400155,10.8779251673349,0.785403048390663
"C:4-C:2",1.66666666666666,-5.54459183400154,8.87792516733487,0.999227223041766
"N:4-C:2",4.66666666666666,-2.54459183400154,11.8779251673349,0.48176874770751
"V:4-C:2",-0.666666666666672,-7.87792516733488,6.54459183400153,0.999999924413297
"C:5-C:2",6,-1.21125850066821,13.2112585006682,0.168977516329958
"N:5-C:2",3.66666666666666,-3.54459183400154,10.8779251673349,0.785403048390662
"V:5-C:2",3.66666666666667,-3.54459183400154,10.8779251673349,0.785403048390662
"V:2-N:2",-1.66666666666667,-8.87792516733488,5.54459183400154,0.999227223041766
"C:3-N:2",3,-4.21125850066821,10.2112585006682,0.926496541759335
"N:3-N:2",3.33333333333333,-3.87792516733488,10.5445918340015,0.866127553091741
"V:3-N:2",1.66666666666667,-5.54459183400154,8.87792516733487,0.999227223041766
"C:4-N:2",-0.333333333333332,-7.54459183400154,6.87792516733488,0.99999999995811
"N:4-N:2",2.66666666666667,-4.54459183400154,9.87792516733488,0.965646197821976
"V:4-N:2",-2.66666666666667,-9.87792516733488,4.54459183400154,0.965646197821976
"C:5-N:2",4,-3.21125850066821,11.2112585006682,0.689328583453671
"N:5-N:2",1.66666666666667,-5.54459183400154,8.87792516733488,0.999227223041766
"V:5-N:2",1.66666666666667,-5.54459183400154,8.87792516733488,0.999227223041766
"C:3-V:2",4.66666666666666,-2.54459183400154,11.8779251673349,0.48176874770751
"N:3-V:2",5,-2.21125850066821,12.2112585006682,0.38493029658843
"V:3-V:2",3.33333333333333,-3.87792516733487,10.5445918340015,0.86612755309174
"C:4-V:2",1.33333333333334,-5.87792516733487,8.54459183400154,0.999905572252298
"N:4-V:2",4.33333333333334,-2.87792516733487,11.5445918340015,0.585458040706119
"V:4-V:2",-1,-8.21125850066821,6.21125850066821,0.99999469787727
"C:5-V:2",5.66666666666667,-1.54459183400154,12.8779251673349,0.227338508792452
"N:5-V:2",3.33333333333334,-3.87792516733487,10.5445918340015,0.86612755309174
"V:5-V:2",3.33333333333334,-3.87792516733487,10.5445918340015,0.866127553091739
"N:3-C:3",0.333333333333334,-6.87792516733487,7.54459183400154,0.99999999995811
"V:3-C:3",-1.33333333333333,-8.54459183400154,5.87792516733488,0.999905572252298
"C:4-C:3",-3.33333333333333,-10.5445918340015,3.87792516733488,0.866127553091741
"N:4-C:3",-0.333333333333329,-7.54459183400154,6.87792516733488,0.99999999995811
"V:4-C:3",-5.66666666666666,-12.8779251673349,1.54459183400154,0.227338508792453
"C:5-C:3",1.00000000000001,-6.2112585006682,8.21125850066821,0.99999469787727
"N:5-C:3",-1.33333333333333,-8.54459183400154,5.87792516733488,0.999905572252298
"V:5-C:3",-1.33333333333333,-8.54459183400153,5.87792516733488,0.999905572252298
"V:3-N:3",-1.66666666666666,-8.87792516733487,5.54459183400154,0.999227223041766
"C:4-N:3",-3.66666666666666,-10.8779251673349,3.54459183400154,0.785403048390663
"N:4-N:3",-0.666666666666663,-7.87792516733487,6.54459183400154,0.999999924413297
"V:4-N:3",-6,-13.2112585006682,1.21125850066821,0.168977516329958
"C:5-N:3",0.666666666666671,-6.54459183400154,7.87792516733488,0.999999924413297
"N:5-N:3",-1.66666666666666,-8.87792516733487,5.54459183400154,0.999227223041766
"V:5-N:3",-1.66666666666666,-8.87792516733487,5.54459183400155,0.999227223041766
"C:4-V:3",-2,-9.2112585006682,5.21125850066821,0.996195098596205
"N:4-V:3",1,-6.2112585006682,8.21125850066821,0.99999469787727
"V:4-V:3",-4.33333333333333,-11.5445918340015,2.87792516733487,0.58545804070612
"C:5-V:3",2.33333333333334,-4.87792516733487,9.54459183400154,0.986928556390285
"N:5-V:3",1.77635683940025e-15,-7.2112585006682,7.21125850066821,1
"V:5-V:3",3.5527136788005e-15,-7.2112585006682,7.21125850066821,1
"N:4-C:4",3,-4.21125850066821,10.2112585006682,0.926496541759334
"V:4-C:4",-2.33333333333334,-9.54459183400154,4.87792516733487,0.986928556390285
"C:5-C:4",4.33333333333333,-2.87792516733487,11.5445918340015,0.58545804070612
"N:5-C:4",2,-5.21125850066821,9.21125850066821,0.996195098596205
"V:5-C:4",2,-5.21125850066821,9.21125850066821,0.996195098596205
"V:4-N:4",-5.33333333333334,-12.5445918340015,1.87792516733487,0.299404139147416
"C:5-N:4",1.33333333333333,-5.87792516733487,8.54459183400154,0.999905572252298
"N:5-N:4",-1,-8.21125850066821,6.21125850066821,0.99999469787727
"V:5-N:4",-0.999999999999998,-8.2112585006682,6.21125850066821,0.99999469787727
"C:5-V:4",6.66666666666667,-0.544591834001538,13.8779251673349,0.0884857996202545
"N:5-V:4",4.33333333333334,-2.87792516733487,11.5445918340015,0.585458040706119
"V:5-V:4",4.33333333333334,-2.87792516733487,11.5445918340015,0.585458040706119
"N:5-C:5",-2.33333333333333,-9.54459183400154,4.87792516733487,0.986928556390285
"V:5-C:5",-2.33333333333333,-9.54459183400154,4.87792516733488,0.986928556390285
"V:5-N:5",1.77635683940025e-15,-7.2112585006682,7.21125850066821,1
