"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",3,17,1
"C","3",3,21.6666666666667,0.577350269189626
"C","4",3,12.6666666666667,5.85946527708231
"C","5",3,20.3333333333333,2.51661147842358
"N","2",3,15.3333333333333,1.52752523165195
"N","3",3,17.3333333333333,0.577350269189626
"N","4",3,18.6666666666667,0.577350269189626
"N","5",3,17,2.64575131106459
"V","2",3,15,1
"V","3",3,19.6666666666667,3.21455025366432
"V","4",3,14.3333333333333,1.52752523165195
"V","5",3,18.3333333333333,3.05505046330389
