"Taxonomy.distribution","Evenness.distribution","n","mean","sd"
"C","2",3,12.3333333333333,1.52752523165195
"C","3",3,18.3333333333333,3.78593889720018
"C","4",3,12.3333333333333,2.08166599946613
"C","5",3,18,4
"N","2",3,13.3333333333333,3.51188458428425
"N","3",3,14.6666666666667,2.08166599946613
"N","4",3,14.3333333333333,0.577350269189626
"N","5",3,13.3333333333333,0.577350269189626
"V","2",3,11.6666666666667,1.52752523165195
"V","3",3,19.6666666666667,2.51661147842358
"V","4",3,11,2.64575131106459
"V","5",3,15.6666666666667,2.08166599946613
