bin_id,eve_class,sample,evenness,taxonomy,depth,pipeline,coverage,rel_abd
A.1.O.60-8K-bin.1,equal,A,1,O,60,8K,63,0.016570833
A.1.O.60-8K-bin.10,equal,A,1,O,60,8K,63,0.010159685
A.1.O.60-8K-bin.11,equal,A,1,O,60,8K,63,0.010159685
A.1.O.60-8K-bin.12,equal,A,1,O,60,8K,63,0.022048072
A.1.O.60-8K-bin.13,equal,A,1,O,60,8K,64,0.013252333
A.1.O.60-8K-bin.14,equal,A,1,O,60,8K,63,0.010159685
A.1.O.60-8K-bin.15,equal,A,1,O,60,8K,64,0.01795138
A.1.O.60-8K-bin.16,equal,A,1,O,60,8K,64,0.013224583
A.1.O.60-8K-bin.17,equal,A,1,O,60,8K,63,0.016570833
A.1.O.60-8K-bin.18,equal,A,1,O,60,8K,63,0.008429168
A.1.O.60-8K-bin.19,equal,A,1,O,60,8K,64,0
A.1.O.60-8K-bin.2,equal,A,1,O,60,8K,63,0.009180909
A.1.O.60-8K-bin.20,equal,A,1,O,60,8K,63,0.008678187
A.1.O.60-8K-bin.21,equal,A,1,O,60,8K,63,0.009494945
A.1.O.60-8K-bin.22,equal,A,1,O,60,8K,64,0.013252333
A.1.O.60-8K-bin.23,equal,A,1,O,60,8K,64,0.017467992
A.1.O.60-8K-bin.24,equal,A,1,O,60,8K,64,0.017905247
A.1.O.60-8K-bin.25,equal,A,1,O,60,8K,63,0.01885844
A.1.O.60-8K-bin.26,equal,A,1,O,60,8K,63,0.027225607
A.1.O.60-8K-bin.27,equal,A,1,O,60,8K,64,0.018017214
A.1.O.60-8K-bin.28,equal,A,1,O,60,8K,63,0.008678187
A.1.O.60-8K-bin.29,equal,A,1,O,60,8K,63,0.008429168
A.1.O.60-8K-bin.3,equal,A,1,O,60,8K,64,0.01795138
A.1.O.60-8K-bin.30,equal,A,1,O,60,8K,64,0.021347981
A.1.O.60-8K-bin.31,equal,A,1,O,60,8K,64,0.017467992
A.1.O.60-8K-bin.32,equal,A,1,O,60,8K,63,0.026061129
A.1.O.60-8K-bin.33,equal,A,1,O,60,8K,63,0.008678187
A.1.O.60-8K-bin.34,equal,A,1,O,60,8K,64,0.017828146
A.1.O.60-8K-bin.35,equal,A,1,O,60,8K,64,0.017796479
A.1.O.60-8K-bin.36,equal,A,1,O,60,8K,63,0.022048072
A.1.O.60-8K-bin.37,equal,A,1,O,60,8K,64,0.018359518
A.1.O.60-8K-bin.38,equal,A,1,O,60,8K,63,0.008814422
A.1.O.60-8K-bin.39,equal,A,1,O,60,8K,63,0.022048072
A.1.O.60-8K-bin.4,equal,A,1,O,60,8K,64,0.027555294
A.1.O.60-8K-bin.40,equal,A,1,O,60,8K,63,0.016570833
A.1.O.60-8K-bin.41,equal,A,1,O,60,8K,63,0.009494945
A.1.O.60-8K-bin.42,equal,A,1,O,60,8K,64,0.011594317
A.1.O.60-8K-bin.43,equal,A,1,O,60,8K,63,0.010159685
A.1.O.60-8K-bin.44,equal,A,1,O,60,8K,63,0.026678968
A.1.O.60-8K-bin.45,equal,A,1,O,60,8K,63,0.022048072
A.1.O.60-8K-bin.46,equal,A,1,O,60,8K,64,0.017467992
A.1.O.60-8K-bin.47,equal,A,1,O,60,8K,64,0.028473569
A.1.O.60-8K-bin.48,equal,A,1,O,60,8K,63,0.016570833
A.1.O.60-8K-bin.49,equal,A,1,O,60,8K,63,0.008429168
A.1.O.60-8K-bin.5,equal,A,1,O,60,8K,63,0.008678187
A.1.O.60-8K-bin.50,equal,A,1,O,60,8K,64,0.022171089
A.1.O.60-8K-bin.51,equal,A,1,O,60,8K,63,0.01885844
A.1.O.60-8K-bin.52,equal,A,1,O,60,8K,64,0.013252333
A.1.O.60-8K-bin.53,equal,A,1,O,60,8K,64,0.01795138
A.1.O.60-8K-bin.54,equal,A,1,O,60,8K,64,0.021763602
A.1.O.60-8K-bin.55,equal,A,1,O,60,8K,64,0.020673374
A.1.O.60-8K-bin.56,equal,A,1,O,60,8K,64,0.017467992
A.1.O.60-8K-bin.57,equal,A,1,O,60,8K,64,0.011594317
A.1.O.60-8K-bin.58,equal,A,1,O,60,8K,63,0.01885844
A.1.O.60-8K-bin.59,equal,A,1,O,60,8K,63,0.009494945
A.1.O.60-8K-bin.6,equal,A,1,O,60,8K,64,0.01161005
A.1.O.60-8K-bin.60,equal,A,1,O,60,8K,63,0.019129259
A.1.O.60-8K-bin.7,equal,A,1,O,60,8K,63,0.026061129
A.1.O.60-8K-bin.8,equal,A,1,O,60,8K,63,0.026061129
A.1.O.60-8K-bin.9,equal,A,1,O,60,8K,64,0.02324855
A.1.O.60-DT-bin.1,equal,A,1,O,60,DT,62,0.008777238
A.1.O.60-DT-bin.10,equal,A,1,O,60,DT,64,0.024229627
A.1.O.60-DT-bin.11,equal,A,1,O,60,DT,62,0.011663417
A.1.O.60-DT-bin.12,equal,A,1,O,60,DT,64,0.029310578
A.1.O.60-DT-bin.13,equal,A,1,O,60,DT,63,0.022533476
A.1.O.60-DT-bin.14,equal,A,1,O,60,DT,68,0.017288474
A.1.O.60-DT-bin.15,equal,A,1,O,60,DT,62,0.008955123
A.1.O.60-DT-bin.16,equal,A,1,O,60,DT,63,0.023930474
A.1.O.60-DT-bin.18,equal,A,1,O,60,DT,62,0.014142259
A.1.O.60-DT-bin.19,equal,A,1,O,60,DT,62,0.010159669
A.1.O.60-DT-bin.2,equal,A,1,O,60,DT,62,0.017480559
A.1.O.60-DT-bin.20,equal,A,1,O,60,DT,63,0.018629187
A.1.O.60-DT-bin.21,equal,A,1,O,60,DT,63,0.024397979
A.1.O.60-DT-bin.22,equal,A,1,O,60,DT,63,0.033695472
A.1.O.60-DT-bin.23,equal,A,1,O,60,DT,63,0.019707931
A.1.O.60-DT-bin.3,equal,A,1,O,60,DT,63,0.023279817
A.1.O.60-DT-bin.4,equal,A,1,O,60,DT,63,0.011832769
A.1.O.60-DT-bin.5,equal,A,1,O,60,DT,64,0.033725339
A.1.O.60-DT-bin.6,equal,A,1,O,60,DT,68,0.018257383
A.1.O.60-DT-bin.7,equal,A,1,O,60,DT,63,0.017626344
A.1.O.60-DT-bin.8,equal,A,1,O,60,DT,62,0.013689088
A.1.O.60-DT-bin.9,equal,A,1,O,60,DT,63,0.017679611
B.1.O.60-8K-bin.1,equal,B,1,O,60,8K,61,0.013808269
B.1.O.60-8K-bin.10,equal,B,1,O,60,8K,61,0.018294395
B.1.O.60-8K-bin.11,equal,B,1,O,60,8K,61,0.014413999
B.1.O.60-8K-bin.12,equal,B,1,O,60,8K,61,0.011765495
B.1.O.60-8K-bin.13,equal,B,1,O,60,8K,61,0.00892892
B.1.O.60-8K-bin.14,equal,B,1,O,60,8K,61,0.00892892
B.1.O.60-8K-bin.15,equal,B,1,O,60,8K,61,0.016019733
B.1.O.60-8K-bin.16,equal,B,1,O,60,8K,61,0.014010334
B.1.O.60-8K-bin.17,equal,B,1,O,60,8K,61,0.008446097
B.1.O.60-8K-bin.18,equal,B,1,O,60,8K,60,0.007335244
B.1.O.60-8K-bin.19,equal,B,1,O,60,8K,61,0.011854428
B.1.O.60-8K-bin.2,equal,B,1,O,60,8K,61,0.00892892
B.1.O.60-8K-bin.20,equal,B,1,O,60,8K,61,0.007585712
