"Bin.Id"	"Community"	"Abundance_distribution"	"Taxonomic_distribution"	"Depth"	"Pipeline"	"Marker.lineage"	"Completeness"	"Contamination"	"Strain.heterogeneity"
"1"	"A.1.O.60-8K-bin.1"	"A"	1	"O"	60	"8K"	"f__Rhodobacteraceae (UID3356)"	96.31	0.3	0
"2"	"A.1.O.60-8K-bin.10"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID3060)"	98.78	0.51	0
"3"	"A.1.O.60-8K-bin.11"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID3060)"	98.78	0.51	0
"4"	"A.1.O.60-8K-bin.12"	"A"	1	"O"	60	"8K"	"g__Vibrio (UID4878)"	98.78	0.03	0
"5"	"A.1.O.60-8K-bin.13"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID2570)"	98.91	0	0
"6"	"A.1.O.60-8K-bin.14"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID3060)"	98.78	0.51	0
"7"	"A.1.O.60-8K-bin.15"	"A"	1	"O"	60	"8K"	"f__Bacillaceae (UID829)"	98.31	0	0
"8"	"A.1.O.60-8K-bin.16"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID2570)"	98.91	0	0
"9"	"A.1.O.60-8K-bin.17"	"A"	1	"O"	60	"8K"	"f__Rhodobacteraceae (UID3356)"	96.31	0.3	0
"10"	"A.1.O.60-8K-bin.18"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID3060)"	97.56	0	0
"11"	"A.1.O.60-8K-bin.19"	"A"	1	"O"	60	"8K"	"p__Euryarchaeota (UID49)"	97.39	0	0
"12"	"A.1.O.60-8K-bin.2"	"A"	1	"O"	60	"8K"	"c__Betaproteobacteria (UID3959)"	98.03	0	0
"13"	"A.1.O.60-8K-bin.20"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID3060)"	98.58	0	0
"14"	"A.1.O.60-8K-bin.21"	"A"	1	"O"	60	"8K"	"c__Betaproteobacteria (UID3959)"	99.01	0	0
"15"	"A.1.O.60-8K-bin.22"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID2570)"	98.91	0	0
"16"	"A.1.O.60-8K-bin.23"	"A"	1	"O"	60	"8K"	"o__Rhodospirillales (UID3754)"	97.47	0	0
"17"	"A.1.O.60-8K-bin.24"	"A"	1	"O"	60	"8K"	"o__Rhodospirillales (UID3754)"	88.06	0	0
"18"	"A.1.O.60-8K-bin.25"	"A"	1	"O"	60	"8K"	"o__Rhizobiales (UID3481)"	98.64	0.48	25
"19"	"A.1.O.60-8K-bin.26"	"A"	1	"O"	60	"8K"	"o__Burkholderiales (UID4000)"	97.2	0	0
"20"	"A.1.O.60-8K-bin.27"	"A"	1	"O"	60	"8K"	"o__Rhodospirillales (UID3754)"	88.56	0	0
"21"	"A.1.O.60-8K-bin.28"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID3060)"	98.58	0	0
"22"	"A.1.O.60-8K-bin.29"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID3060)"	97.56	0	0
"23"	"A.1.O.60-8K-bin.3"	"A"	1	"O"	60	"8K"	"f__Bacillaceae (UID829)"	98.31	0	0
"24"	"A.1.O.60-8K-bin.30"	"A"	1	"O"	60	"8K"	"f__Rhodobacteraceae (UID3340)"	88.48	0	0
"25"	"A.1.O.60-8K-bin.31"	"A"	1	"O"	60	"8K"	"o__Rhodospirillales (UID3754)"	97.47	0	0
"26"	"A.1.O.60-8K-bin.32"	"A"	1	"O"	60	"8K"	"o__Burkholderiales (UID4000)"	96.26	0	0
"27"	"A.1.O.60-8K-bin.33"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID3060)"	98.58	0	0
"28"	"A.1.O.60-8K-bin.34"	"A"	1	"O"	60	"8K"	"o__Rhodospirillales (UID3754)"	88.06	0	0
"29"	"A.1.O.60-8K-bin.35"	"A"	1	"O"	60	"8K"	"o__Rhodospirillales (UID3754)"	88.06	0	0
"30"	"A.1.O.60-8K-bin.36"	"A"	1	"O"	60	"8K"	"g__Vibrio (UID4878)"	98.78	0.03	0
"31"	"A.1.O.60-8K-bin.37"	"A"	1	"O"	60	"8K"	"f__Bacillaceae (UID829)"	98.31	0.03	0
"32"	"A.1.O.60-8K-bin.38"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID3060)"	97.97	0	0
"33"	"A.1.O.60-8K-bin.39"	"A"	1	"O"	60	"8K"	"g__Vibrio (UID4878)"	98.78	0.03	0
"34"	"A.1.O.60-8K-bin.4"	"A"	1	"O"	60	"8K"	"f__Rhodobacteraceae (UID3361)"	99.25	0.53	0
"35"	"A.1.O.60-8K-bin.40"	"A"	1	"O"	60	"8K"	"f__Rhodobacteraceae (UID3356)"	96.31	0.3	0
"36"	"A.1.O.60-8K-bin.41"	"A"	1	"O"	60	"8K"	"c__Betaproteobacteria (UID3959)"	99.01	0	0
"37"	"A.1.O.60-8K-bin.42"	"A"	1	"O"	60	"8K"	"p__Euryarchaeota (UID49)"	97.39	0	0
"38"	"A.1.O.60-8K-bin.43"	"A"	1	"O"	60	"8K"	"k__Bacteria (UID3060)"	98.78	0.51	0
"39"	"A.1.O.60-8K-bin.44"	"A"	1	"O"	60	"8K"	"f__Rhodobacteraceae (UID3361)"	99.25	0.53	0
"40"	"A.1.O.60-8K-bin.45"	"A"	1	"O"	60	"8K"	"g__Vibrio (UID4878)"	98.78	0.03	0
