Community,evenness_simplified,Evenness distribution,Taxonomic distribution,Sequencing Depth (million reads),Pipeline,MAG ID,Domain,Phylum,Class,Order,Family,Genus,Species,Completeness,Contamination,Strain heterogeneity,Original community?,Number of contigs,Contig size (bp),coverage,Relative abundance,species list,Special case?,original_comm,Mismatch
A,Logarithmic,Logarithmic decay,Random,120,DT,A.2.R.120-DT-bin.8,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,,51.39,0.05,0,#N/A,589,1034415,3,0.00017287,#N/A,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,180,DT,B.2.R.180-DT-bin.27,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,80.99,0.65,0,Riemerella anatipestifer,678,1771822,4,0.00025962,Riemerella anatipestifer,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Random,180,DT,C.2.R.180-DT-bin.14,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides methylutens,91.32,2.68,0,Methanococcoides methylutens,623,1995315,4,0.00029723,Methanococcoides methylutens,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,8K,A.2.R.180-8K-bin.18,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,89.31,0.98,0,Ferroglobus placidus,233,1653531,5,0.00030053,Ferroglobus placidus,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,8K,A.2.R.180-8K-bin.27,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,89.31,0.98,0,Ferroglobus placidus,233,1653531,5,0.00030053,Ferroglobus placidus,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,8K,A.2.R.180-8K-bin.50,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,89.31,0.98,0,Ferroglobus placidus,233,1653531,5,0.00030053,Ferroglobus placidus,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,8K,A.2.R.180-8K-bin.22,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,89.31,0.98,0,Ferroglobus placidus,235,1666667,5,0.00030293,Ferroglobus placidus,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,120,8K,B.2.R.120-8K-bin.10,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,91.39,0.35,100,#N/A,158,1116171,6,0.00031524,#N/A,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,120,8K,B.2.R.120-8K-bin.13,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,91.39,0.35,100,#N/A,158,1116171,6,0.00031524,#N/A,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,120,8K,B.2.R.120-8K-bin.28,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,91.39,0.35,100,#N/A,158,1116171,6,0.00031524,#N/A,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,120,8K,B.2.R.120-8K-bin.8,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,91.39,0.35,100,#N/A,161,1130875,6,0.00031932,#N/A,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,DT,A.2.R.180-DT-bin.15,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,94.15,2.34,0,Ferroglobus placidus,361,1969812,5,0.00036601,Ferroglobus placidus,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,180,8K,B.2.R.180-8K-bin.5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Planktomarina temperata,74.21,1.35,12.5,Planktomarina temperata,376,1976906,6,0.00037758,Planktomarina temperata,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,180,8K,B.2.R.180-8K-bin.11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Planktomarina temperata,74.31,1.35,12.5,Planktomarina temperata,379,1983536,6,0.00037871,Planktomarina temperata,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,180,8K,B.2.R.180-8K-bin.28,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Planktomarina temperata,74.31,1.35,12.5,Planktomarina temperata,379,1983536,6,0.00037871,Planktomarina temperata,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,120,DT,B.2.R.120-DT-bin.12,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,96.08,1.05,50,#N/A,322,1379792,5,0.00038151,#N/A,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Random,180,8K,C.2.R.180-8K-bin.12,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga thermarum,94.83,0.34,100,Pseudothermotoga thermarum,182,1903664,6,0.00039292,Pseudothermotoga thermarum,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Random,180,8K,C.2.R.180-8K-bin.20,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga thermarum,94.83,0.34,100,Pseudothermotoga thermarum,182,1903664,6,0.00039292,Pseudothermotoga thermarum,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Random,180,8K,C.2.R.180-8K-bin.4,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga thermarum,94.83,0.34,100,Pseudothermotoga thermarum,182,1903664,6,0.00039292,Pseudothermotoga thermarum,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Random,180,8K,C.2.R.180-8K-bin.10,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,Pseudothermotoga thermarum,94.83,0.34,100,Pseudothermotoga thermarum,183,1922184,6,0.00039679,Pseudothermotoga thermarum,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,180,DT,B.2.R.180-DT-bin.14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Planktomarina temperata,90.42,3.9,21.74,Planktomarina temperata,697,2576244,5,0.00041465,Planktomarina temperata,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay with abundance plateaus,Very closely related,60,DT,B.4.V.60-DT-bin.11,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,71.16,1.46,12.5,Wolinella succinogenes,690,1329037,3,0.00046091,Wolinella succinogenes,#N/A,#N/A,#N/A
